@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute oschook-1 numeric
@attribute oschook-2 numeric
@attribute oschook-3 numeric
@attribute oschook-4 numeric
@attribute outputs-1 {0,1,2}

@data
299,'2023/12/10 06:27:15:111',3,203.328201,93.703728,-8.255084,0,1
300,'2023/12/10 06:27:15:188',3,203.454803,93.685913,-8.355208,0,1
301,'2023/12/10 06:27:15:286',3,203.71756,93.674423,-8.586348,0,1
302,'2023/12/10 06:27:15:292',3,203.987076,93.667618,-8.827477,0,1
303,'2023/12/10 06:27:15:386',3,204.308167,93.654152,-9.122993,0,1
304,'2023/12/10 06:27:15:413',3,204.843491,93.625313,-9.629134,0,1
305,'2023/12/10 06:27:15:488',3,205.167175,93.599632,-9.931149,0,1
306,'2023/12/10 06:27:19:995',4,261.22345,-39.905445,-59.153263,0,2
307,'2023/12/10 06:27:20:096',4,267.358978,-34.782921,-65.056694,0,2
308,'2023/12/10 06:27:20:097',4,272.275696,-30.720867,-69.785881,0,2
309,'2023/12/10 06:27:20:199',4,276.206818,-27.444202,-73.555603,0,2
310,'2023/12/10 06:27:20:213',4,279.343811,-24.869049,-76.558937,0,2
311,'2023/12/10 06:27:20:307',4,281.866577,-22.823013,-78.933434,0,2
312,'2023/12/10 06:27:20:333',4,283.890015,-21.196331,-80.823067,0,2
313,'2023/12/10 06:27:20:404',4,285.506531,-19.897816,-82.333145,0,2
314,'2023/12/10 06:27:20:505',4,286.805634,-18.844242,-83.540802,0,2
315,'2023/12/10 06:27:20:512',4,287.848175,-17.989801,-84.509392,0,2
316,'2023/12/10 06:27:20:608',4,288.713562,-17.288359,-85.260231,0,2
317,'2023/12/10 06:27:20:631',4,289.405548,-16.735439,-85.857597,0,2
318,'2023/12/10 06:27:20:717',4,289.981659,-16.30348,-86.309464,0,2
319,'2023/12/10 06:27:20:819',4,290.450287,-15.954442,-86.667656,0,2
320,'2023/12/10 06:27:20:820',4,290.803619,-15.673888,-86.964813,0,2
321,'2023/12/10 06:27:20:918',4,291.086792,-15.439868,-87.207741,0,2
322,'2023/12/10 06:27:20:933',4,291.315155,-15.244275,-87.405396,0,2
323,'2023/12/10 06:27:21:020',4,291.504852,-15.082973,-87.569565,0,2
324,'2023/12/10 06:27:21:051',4,291.662994,-14.975603,-87.703255,0,2
325,'2023/12/10 06:27:21:121',4,291.778381,-14.8829,-87.813408,0,2
326,'2023/12/10 06:27:21:224',4,291.865234,-14.804432,-87.911156,0,2
327,'2023/12/10 06:27:21:230',4,291.941925,-14.716681,-87.984528,0,2
328,'2023/12/10 06:27:21:326',4,292.017334,-14.623504,-88.044403,0,2
329,'2023/12/10 06:27:21:350',4,292.095428,-14.561977,-88.096443,0,2
330,'2023/12/10 06:27:21:428',4,292.169098,-14.511231,-88.125076,0,2
331,'2023/12/10 06:27:21:530',4,292.23465,-14.481557,-88.125755,0,2
332,'2023/12/10 06:27:21:533',4,292.278625,-14.452704,-88.123177,0,2
333,'2023/12/10 06:27:21:633',4,292.313019,-14.423183,-88.128983,0,2
334,'2023/12/10 06:27:21:652',4,292.345886,-14.378922,-88.153542,0,2
335,'2023/12/10 06:27:21:742',4,292.387177,-14.335917,-88.177124,0,2
336,'2023/12/10 06:27:21:772',4,292.421722,-14.295154,-88.193024,0,2
