@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute oschook-1 numeric
@attribute oschook-2 numeric
@attribute oschook-3 numeric
@attribute oschook-4 numeric
@attribute outputs-1 {0,1,2}

@data
259,'2023/12/10 03:24:02:844',4,111.203537,99.491104,86.649513,0,?
260,'2023/12/10 03:24:02:859',4,111.291504,99.41243,86.59697,0,?
261,'2023/12/10 03:24:02:954',4,111.285461,99.36097,86.647438,0,?
262,'2023/12/10 03:24:02:985',4,111.283737,99.314384,86.690155,0,?
263,'2023/12/10 03:24:03:048',4,111.301811,99.280144,86.712547,0,?
264,'2023/12/10 03:24:03:111',4,111.514709,99.252922,86.552689,0,?
265,'2023/12/10 03:24:03:159',4,111.648972,99.241707,86.469643,0,?
266,'2023/12/10 03:24:03:254',4,111.639748,99.222466,86.528862,0,?
267,'2023/12/10 03:24:03:286',4,111.443138,99.23011,86.773888,0,?
268,'2023/12/10 03:24:03:365',4,111.388359,99.239784,86.869415,0,?
269,'2023/12/10 03:24:03:413',4,111.170616,99.255569,87.118752,0,?
270,'2023/12/10 03:24:03:476',4,111.015083,99.268951,87.29715,0,?
271,'2023/12/10 03:24:03:524',4,110.813499,99.287811,87.517105,0,?
272,'2023/12/10 03:24:03:666',4,110.766174,99.28537,87.593262,0,?
273,'2023/12/10 03:24:03:666',4,110.754829,99.294235,87.639061,0,?
274,'2023/12/10 03:24:03:713',4,110.776566,99.288216,87.666573,0,?
275,'2023/12/10 03:24:03:761',4,110.830666,99.293327,87.66629,0,?
276,'2023/12/10 03:24:03:871',4,110.89444,99.294357,87.660042,0,?
277,'2023/12/10 03:24:03:887',4,111.017998,99.308098,87.592842,0,?
278,'2023/12/10 03:24:03:966',4,111.074303,99.312553,87.597252,0,?
279,'2023/12/10 03:24:04:013',4,111.185379,99.315475,87.545769,0,?
280,'2023/12/10 03:24:04:077',4,111.327072,99.339249,87.46595,0,?
281,'2023/12/10 03:24:04:124',4,111.50972,99.347359,87.338455,0,?
282,'2023/12/10 03:24:04:187',4,111.62944,99.353996,87.258644,0,?
283,'2023/12/10 03:24:04:282',4,111.846474,99.363556,87.075012,0,?
284,'2023/12/10 03:24:04:313',4,112.062363,99.378944,86.887047,0,?
285,'2023/12/10 03:24:04:377',4,112.156265,99.388809,86.825592,0,?
286,'2023/12/10 03:24:04:424',4,112.217354,99.395988,86.813225,0,?
287,'2023/12/10 03:24:04:509',4,112.2435,99.40683,86.831352,0,?
288,'2023/12/10 03:24:04:583',4,112.377029,99.423256,86.740501,0,?
289,'2023/12/10 03:24:04:615',4,112.426392,99.431473,86.726578,0,?
290,'2023/12/10 03:24:04:693',4,112.523697,99.428421,86.668015,0,?
291,'2023/12/10 03:24:04:725',4,112.569145,99.43763,86.658752,0,?
292,'2023/12/10 03:24:04:899',4,112.58963,99.436089,86.672264,0,?
293,'2023/12/10 03:24:04:899',4,112.527382,99.438652,86.770187,0,?
294,'2023/12/10 03:24:04:899',4,112.37973,99.432777,86.93763,0,?
295,'2023/12/10 03:37:42:160',5,268.549225,0.504268,0.260756,0,?
296,'2023/12/10 03:37:42:255',5,268.545013,0.503818,0.261022,0,?
297,'2023/12/10 03:37:42:271',5,268.540894,0.503528,0.261452,0,?
298,'2023/12/10 03:37:42:350',5,268.537292,0.50341,0.261918,0,?
299,'2023/12/10 03:37:42:461',5,268.533173,0.503486,0.262143,0,?
300,'2023/12/10 03:37:42:461',5,268.529205,0.503344,0.262433,0,?
301,'2023/12/10 03:37:42:557',5,268.52536,0.503177,0.262976,0,?
302,'2023/12/10 03:37:42:573',5,268.521362,0.503325,0.263354,0,?
303,'2023/12/10 03:37:42:667',5,268.517273,0.503521,0.263561,0,?
304,'2023/12/10 03:37:42:699',5,268.513763,0.503937,0.263323,0,?
305,'2023/12/10 03:37:42:762',5,268.510223,0.504133,0.263468,0,?
306,'2023/12/10 03:37:42:809',5,268.506622,0.504463,0.263477,0,?
307,'2023/12/10 03:37:42:872',5,268.502563,0.504877,0.263433,0,?
308,'2023/12/10 03:37:42:966',5,268.498596,0.505574,0.263505,0,?
309,'2023/12/10 03:37:42:999',5,268.495209,0.506118,0.263751,0,?
310,'2023/12/10 03:37:43:077',5,268.488464,0.506862,0.263811,0,?
311,'2023/12/10 03:37:43:170',5,268.482452,0.507556,0.26362,0,?
312,'2023/12/10 03:37:43:170',5,268.477081,0.508078,0.263158,0,?
313,'2023/12/10 03:37:43:281',5,268.47226,0.508993,0.262247,0,?
314,'2023/12/10 03:37:43:296',5,268.466187,0.509798,0.261443,0,?
315,'2023/12/10 03:37:43:375',5,268.461121,0.510484,0.261196,0,?
316,'2023/12/10 03:37:43:407',5,268.45578,0.511556,0.260383,0,?
317,'2023/12/10 03:37:43:486',5,268.451569,0.512669,0.259706,0,?
318,'2023/12/10 03:37:43:534',5,268.447357,0.513644,0.259065,0,?
319,'2023/12/10 03:37:43:597',5,268.442841,0.51447,0.258903,0,?
320,'2023/12/10 03:37:43:692',5,268.438904,0.515137,0.258746,0,?
321,'2023/12/10 03:37:43:708',5,268.435242,0.516007,0.258544,0,?
322,'2023/12/10 03:37:43:788',5,268.432068,0.51689,0.257983,0,?
323,'2023/12/10 03:37:43:835',5,268.420319,0.517395,0.257185,0,?
324,'2023/12/10 03:37:43:899',5,268.410248,0.517635,0.255891,0,?
325,'2023/12/10 03:37:43:992',5,268.401855,0.517331,0.254633,0,?
326,'2023/12/10 03:37:44:008',5,268.39444,0.517007,0.253481,0,?
327,'2023/12/10 03:37:44:103',5,268.386047,0.517158,0.252617,0,?
328,'2023/12/10 03:37:44:197',5,268.379303,0.517205,0.25184,0,?
329,'2023/12/10 03:37:44:197',5,268.373596,0.517191,0.251162,0,?
330,'2023/12/10 03:37:44:307',5,268.36792,0.517116,0.25045,0,?
331,'2023/12/10 03:37:44:307',5,268.362152,0.517172,0.249952,0,?
332,'2023/12/10 03:37:44:402',5,268.356628,0.517149,0.250111,0,?
333,'2023/12/10 03:37:44:433',5,268.351257,0.517304,0.250126,0,?
334,'2023/12/10 03:37:44:512',5,268.346405,0.517396,0.249912,0,?
335,'2023/12/10 03:37:44:560',5,268.340149,0.51756,0.249899,0,?
336,'2023/12/10 03:37:44:718',5,268.334442,0.517421,0.249867,0,?
337,'2023/12/10 03:37:44:718',5,268.327423,0.516766,0.249783,0,?
338,'2023/12/10 03:37:44:734',5,268.320892,0.516679,0.249751,0,?
339,'2023/12/10 03:37:44:813',5,268.31488,0.516759,0.249507,0,?
340,'2023/12/10 03:37:44:923',5,268.309235,0.516786,0.24917,0,?
341,'2023/12/10 03:37:44:923',5,268.304138,0.516587,0.24883,0,?
342,'2023/12/10 03:37:44:985',5,268.298737,0.516531,0.248435,0,?
343,'2023/12/10 03:37:45:033',5,268.290924,0.516552,0.248014,0,?
344,'2023/12/10 03:37:45:097',5,268.283844,0.516744,0.24776,0,?
345,'2023/12/10 03:37:45:208',5,268.277283,0.516713,0.247442,0,?
346,'2023/12/10 03:37:45:208',5,268.270599,0.516721,0.24734,0,?
347,'2023/12/10 03:37:45:318',5,268.264435,0.516917,0.247123,0,?
348,'2023/12/10 03:37:45:334',5,268.258423,0.516801,0.247013,0,?
349,'2023/12/10 03:37:45:428',5,268.251831,0.516707,0.24748,0,?
350,'2023/12/10 03:37:45:460',5,268.245239,0.516491,0.247795,0,?
351,'2023/12/10 03:37:45:523',5,268.239105,0.516229,0.247845,0,?
352,'2023/12/10 03:37:45:571',5,268.233032,0.515943,0.247647,0,?
353,'2023/12/10 03:37:45:634',5,268.227295,0.51594,0.247699,0,?
354,'2023/12/10 03:37:45:729',5,268.221985,0.515825,0.247586,0,?
355,'2023/12/10 03:37:45:760',5,268.217102,0.51569,0.247531,0,?
356,'2023/12/10 03:37:45:839',5,268.212708,0.515603,0.247673,0,?
357,'2023/12/10 03:37:45:933',5,268.208191,0.51569,0.247683,0,?
358,'2023/12/10 03:37:45:933',5,268.204132,0.515842,0.247808,0,?
359,'2023/12/10 03:37:45:995',5,268.200592,0.515863,0.248014,0,?
360,'2023/12/10 03:37:46:059',5,268.197327,0.51526,0.247951,0,?
361,'2023/12/10 03:37:46:138',5,268.193481,0.514478,0.247988,0,?
362,'2023/12/10 03:37:46:169',5,268.189941,0.513944,0.247993,0,?
363,'2023/12/10 03:37:46:248',5,268.186493,0.513332,0.24762,0,?
364,'2023/12/10 03:37:46:296',5,268.182831,0.513074,0.247466,0,?
365,'2023/12/10 03:37:46:360',5,268.179352,0.512938,0.24747,0,?
366,'2023/12/10 03:37:46:454',5,268.174774,0.512911,0.24739,0,?
367,'2023/12/10 03:37:46:469',5,268.170959,0.512957,0.24738,0,?
368,'2023/12/10 03:37:46:548',5,268.166992,0.51277,0.24773,0,?
369,'2023/12/10 03:37:46:658',5,268.16333,0.512288,0.248154,0,?
370,'2023/12/10 03:37:46:658',5,268.160278,0.511838,0.248599,0,?
371,'2023/12/10 03:37:46:753',5,268.157196,0.511513,0.249083,0,?
372,'2023/12/10 03:37:46:784',5,268.153931,0.511035,0.24969,0,?
373,'2023/12/10 03:37:46:863',5,268.151428,0.510419,0.250542,0,?
374,'2023/12/10 03:37:46:895',5,268.148315,0.509537,0.251447,0,?
375,'2023/12/10 03:37:46:974',5,268.144928,0.5088,0.252023,0,?
376,'2023/12/10 03:37:47:022',5,268.141113,0.508086,0.252706,0,?
377,'2023/12/10 03:37:47:069',5,268.137115,0.507363,0.253653,0,?
378,'2023/12/10 03:37:47:167',5,268.133392,0.506884,0.254468,0,?
379,'2023/12/10 03:37:47:196',5,268.129486,0.506759,0.255653,0,?
380,'2023/12/10 03:37:47:275',5,268.125458,0.506905,0.256823,0,?
381,'2023/12/10 03:37:47:322',5,268.121582,0.506796,0.258015,0,?
382,'2023/12/10 03:37:47:479',5,268.116852,0.506641,0.259246,0,?
383,'2023/12/10 03:37:47:479',5,268.112793,0.506224,0.260455,0,?
384,'2023/12/10 03:37:47:495',5,268.108185,0.506195,0.261404,0,?
385,'2023/12/10 03:37:47:574',5,268.103729,0.506293,0.262459,0,?
386,'2023/12/10 03:37:47:684',5,268.098694,0.506471,0.26348,0,?
387,'2023/12/10 03:37:47:684',5,268.093231,0.506732,0.264565,0,?
388,'2023/12/10 03:37:47:731',5,268.087433,0.507291,0.265716,0,?
389,'2023/12/10 03:37:47:794',5,268.08252,0.507886,0.26656,0,?
390,'2023/12/10 03:37:47:890',5,268.06897,0.509206,0.266928,0,?
391,'2023/12/10 03:37:47:922',5,268.057434,0.510472,0.26777,0,?
392,'2023/12/10 03:37:47:985',5,268.021576,0.511835,0.268856,0,?
393,'2023/12/10 03:37:48:095',5,267.875763,0.51204,0.270673,0,?
394,'2023/12/10 03:37:48:095',5,267.719391,0.510302,0.270167,0,?
395,'2023/12/10 03:37:48:189',5,267.409027,0.498116,0.205409,0,?
396,'2023/12/10 03:37:48:221',5,266.840057,0.475745,-0.136821,0,?
397,'2023/12/10 03:37:48:300',5,266.171692,0.374539,-0.489633,0,?
398,'2023/12/10 03:37:48:394',5,265.373901,0.154237,-1.45091,0,?
399,'2023/12/10 03:37:48:394',5,264.631561,0.106586,-2.534202,0,?
400,'2023/12/10 03:37:48:504',5,263.937775,0.601267,-3.595797,0,?
401,'2023/12/10 03:37:48:519',5,263.286072,1.03173,-4.492323,0,?
402,'2023/12/10 03:37:48:599',5,262.597748,1.005866,-4.970781,0,?
403,'2023/12/10 03:37:48:630',5,261.968506,0.780511,-5.251783,0,?
404,'2023/12/10 03:37:48:710',5,261.46228,0.428938,-5.366939,0,?
405,'2023/12/10 03:37:48:758',5,261.0495,-0.003682,-5.423968,0,?
406,'2023/12/10 03:37:48:821',5,260.733307,-0.31995,-5.335368,0,?
407,'2023/12/10 03:37:48:901',5,260.541504,-0.454077,-5.293435,0,?
408,'2023/12/10 03:37:48:932',5,260.388062,-0.570698,-5.328804,0,?
409,'2023/12/10 03:37:49:011',5,260.249878,-0.694156,-5.353232,0,?
410,'2023/12/10 03:37:49:106',5,260.177643,-0.864121,-5.474535,0,?
411,'2023/12/10 03:37:49:121',5,260.109833,-0.827948,-5.594597,0,?
412,'2023/12/10 03:37:49:216',5,260.061401,-0.651378,-5.839246,0,?
413,'2023/12/10 03:37:49:232',5,259.993103,-0.456582,-6.002903,0,?
414,'2023/12/10 03:37:49:311',5,259.8974,-0.337095,-6.09725,0,?
415,'2023/12/10 03:37:49:421',5,259.851837,-0.336384,-6.093712,0,?
416,'2023/12/10 03:37:49:421',5,259.841736,-0.394315,-6.03465,0,?
417,'2023/12/10 03:37:49:468',5,259.884064,-0.464497,-5.993224,0,?
418,'2023/12/10 03:37:49:532',5,259.906708,-0.572922,-5.874186,0,?
419,'2023/12/10 03:37:49:626',5,260.001801,-0.658389,-5.815026,0,?
420,'2023/12/10 03:37:49:657',5,260.052338,-0.687072,-5.794336,0,?
421,'2023/12/10 03:37:49:720',5,260.06958,-0.740773,-5.81234,0,?
422,'2023/12/10 03:37:49:768',5,260.036591,-0.744322,-5.890768,0,?
423,'2023/12/10 03:37:49:831',5,259.96991,-0.739846,-5.93751,0,?
424,'2023/12/10 03:37:49:941',5,259.916229,-0.723908,-5.984429,0,?
425,'2023/12/10 03:37:49:957',5,259.869202,-0.784656,-5.956588,0,?
426,'2023/12/10 03:37:50:035',5,259.819031,-0.9432,-5.873391,0,?
427,'2023/12/10 03:37:50:145',5,259.784363,-0.952353,-5.776363,0,?
428,'2023/12/10 03:37:50:145',5,259.807159,-1.033996,-5.87417,0,?
